"id","orginalWord","lemma","strong","alignmentsForOriginalWord","alignmentFrequency%","alignmentFreq","alignmentFreq-min","alignmentFreq-max","alignmentFreq-mean","alignmentFreq-stddev","alignmentFreq-total","alignmentFreq-meanNormalized","alignmentFreq-stddevNormalized","origWordsCount-min","origWordsCount-max","origWordsCount-mean","origWordsCount-stddev","origWordsCount-total","origWordsCount-meanNormalized","origWordsCount-stddevNormalized","origWordsBetween-min","origWordsBetween-max","origWordsBetween-mean","origWordsBetween-stddev","origWordsBetween-total","origWordsBetween-meanNormalized","origWordsBetween-stddevNormalized","targetWordsCount-min","targetWordsCount-max","targetWordsCount-mean","targetWordsCount-stddev","targetWordsCount-total","targetWordsCount-meanNormalized","targetWordsCount-stddevNormalized","targetWordsBetween-min","targetWordsBetween-max","targetWordsBetween-mean","targetWordsBetween-stddev","targetWordsBetween-total","targetWordsBetween-meanNormalized","targetWordsBetween-stddevNormalized"
"Θεοῦ","Θεοῦ","θεός","G23160",12,"{'Θεοῦ = परमेश्वर': 25.0, 'Θεοῦ = परमेश्वर का': 16.666666666666664, 'τοῦ Θεοῦ = परमेश्वर के': 16.666666666666664, 'τοῦ Θεοῦ = परमेश्वर की': 8.333333333333332, 'Θεοῦ = परमेश्वर के बारे': 8.333333333333332, 'τοῦ Θεοῦ = परमेश्वर का': 8.333333333333332, 'Θεοῦ = परमेश्वर के': 8.333333333333332, 'Θεοῦ = परमेश्वर की': 8.333333333333332}","[3, 2, 2, 1, 1, 1, 1, 1]",1,3,1.5,0.7071067811865476,12,0.125,0.05892556509887897,1,2,1.3333333333333333,0.4714045207910317,16,0.08333333333333333,0.02946278254943948,0,0,0.0,0.0,0,0.0,0.0,1,3,1.8333333333333333,0.5527707983925666,22,0.08333333333333333,0.025125945381480302,0,0,0.0,0.0,0,0,0
"Θεόν","Θεόν","θεός","G23160",1,"{'τὸν Θεόν = परमेश्वर को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεὸν","Θεὸν","θεός","G23160",1,"{'Θεὸν = परमेश्वर को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεὸς","Θεὸς","θεός","G23160",1,"{'Θεὸς = परमेश्वर ने': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Θεῷ","Θεῷ","θεός","G23160",1,"{'Θεῷ = परमेश्वर पर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κρήτῃ","Κρήτῃ","Κρήτη","G29140",1,"{'Κρήτῃ = क्रेते': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Κρῆτες","Κρῆτες","Κρής","G29120",1,"{'Κρῆτες = क्रेती लोग': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Πατρὸς","Πατρὸς","πατήρ","G39620",1,"{'Πατρὸς = पिता': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Παῦλος","Παῦλος","Παῦλος","G39720",1,"{'Παῦλος = पौलुस': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Πνεύματος","Πνεύματος","πνεῦμα","G41510",1,"{'Πνεύματος = आत्मा': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"Σωτῆρος","Σωτῆρος","σωτήρ","G49900",7,"{'τοῦ Σωτῆρος = उद्धारकर्ता': 71.42857142857143, 'τοῦ Σωτῆρος = की': 14.285714285714285, 'Σωτῆρος = उद्धारकर्ता': 14.285714285714285}","[5, 1, 1]",1,5,2.3333333333333335,1.8856180831641267,7,0.33333333333333337,0.2693740118805895,1,2,1.8571428571428572,0.3499271061118826,13,0.14285714285714285,0.02691746970091404,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,7,0.14285714285714285,0.0,0,0,0.0,0.0,0,0,0
"Τίτῳ","Τίτῳ","Τίτος","G51030",1,"{'Τίτῳ = तीतुस को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Τυχικόν","Τυχικόν","Τυχικός","G51900",1,"{'Τυχικόν = तुखिकुस को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"Χριστοῦ","Χριστοῦ","χριστός","G55470",4,"{'Χριστοῦ = मसीह': 50.0, 'Χριστοῦ = मसीह का': 25.0, 'Χριστοῦ = मसीह की': 25.0}","[2, 1, 1]",1,2,1.3333333333333333,0.4714045207910317,4,0.3333333333333333,0.11785113019775792,1,1,1.0,0.0,4,0.25,0.0,0,0,0.0,0.0,0,0.0,0.0,1,2,1.5,0.5,6,0.25,0.08333333333333333,0,0,0.0,0.0,0,0,0
"αἰσχροῦ","αἰσχροῦ","αἰσχρός","G01500",1,"{'αἰσχροῦ = नीच': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αἰτίαν","αἰτίαν","αἰτία","G01560",1,"{'αἰτίαν = कारण': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αἰωνίου","αἰωνίου","αἰώνιος","G01660",2,"{'αἰωνίου = अनन्त': 100.0}","[2]",2,2,2.0,0.0,2,1.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"αἰωνίων","αἰωνίων","αἰώνιος","G01660",1,"{'αἰωνίων = युगों के': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"αἰῶνι","αἰῶνι","αἰών","G01650",1,"{'αἰῶνι = युग': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αὐτοὺς","αὐτοὺς","αὐτός","G08460",2,"{'αὐτοὺς = उन्हें': 100.0}","[2]",2,2,2.0,0.0,2,1.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"αὐτοῖς","αὐτοῖς","αὐτός","G08460",1,"{'αὐτοῖς = उन्हें': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αὐτοῦ","αὐτοῦ","αὐτός","G08460",3,"{'αὐτοῦ = उसके': 33.33333333333333, 'τὸ αὐτοῦ = अपनी': 33.33333333333333, 'αὐτοῦ = उसने': 33.33333333333333}","[1, 1, 1]",1,1,1.0,0.0,3,0.3333333333333333,0.0,1,2,1.3333333333333333,0.4714045207910317,4,0.3333333333333333,0.11785113019775792,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,3,0.3333333333333333,0.0,0,0,0.0,0.0,0,0,0
"αὐτὸς","αὐτὸς","αὐτός","G08460",1,"{'αὐτὸς = वह': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αὐτῆς","αὐτῆς","αὐτός","G08460",1,"{'αὐτῆς = स्वयं': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"αὐτῶν","αὐτῶν","αὐτός","G08460",5,"{'αὐτῶν = उन्हीं': 20.0, 'αὐτῶν = उनकी': 20.0, 'ἴδιος αὐτῶν = है': 20.0, 'ἴδιος αὐτῶν = जो उन्हीं का': 20.0, 'αὐτῶν = उनमें': 20.0}","[1, 1, 1, 1, 1]",1,1,1.0,0.0,5,0.2,0.0,1,2,1.4,0.4898979485566356,7,0.19999999999999998,0.06998542122237651,0,0,0.0,0.0,0,0.0,0.0,1,3,1.4,0.8000000000000002,7,0.19999999999999998,0.11428571428571428,0,0,0.0,0.0,0,0,0
"βδελυκτοὶ","βδελυκτοὶ","βδελυκτός","G09470",1,"{'βδελυκτοὶ = घृणित': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"βλασφημεῖν","βλασφημεῖν","βλασφημέω","G09870",2,"{'βλασφημεῖν = कहें': 50.0, 'βλασφημεῖν = बुरा भला': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,2,1.5,0.5,3,0.5,0.16666666666666666,0,0,0.0,0.0,0,0,0
"βλασφημῆται","βλασφημῆται","βλασφημέω","G09870",1,"{'βλασφημῆται = निन्दा': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"βουλομένους","βουλομένους","βούλομαι","G10140",1,"{'βουλομένους = ऐसा करना चाहते हैं': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,4,4,4.0,0.0,4,1.0,0.0,0,0,0.0,0.0,0,0,0
"βούλομαί","βούλομαί","βούλομαι","G10140",1,"{'βούλομαί = मैं चाहता हूँ कि': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,4,4,4.0,0.0,4,1.0,0.0,0,0,0.0,0.0,0,0,0
"γαστέρες","γαστέρες","γαστήρ","G10640",1,"{'γαστέρες = पेटू': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"γενηθῶμεν","γενηθῶμεν","γίνομαι","G10960",1,"{'γενηθῶμεν = बनें': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"γινώμεθα","γινώμεθα","γίνομαι","G10960",2,"{'γινώμεθα = हों': 50.0, 'γινώμεθα = हम': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"γνησίῳ","γνησίῳ","γνήσιος","G11030",1,"{'γνησίῳ = सच्चा': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"γράφειν","γράφειν","γράφω","G11250",2,"{'γράφειν = मैं': 50.0, 'γράφειν = लिखना': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0,0
"γράψαι","γράψαι","γράφω","G11250",2,"{'γράψαι = है': 50.0, 'γράψαι = लिखने को': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,2,1.5,0.5,3,0.5,0.16666666666666666,0,0,0.0,0.0,0,0,0
"γυναικὸς","γυναικὸς","γυνή","G11350",1,"{'γυναικὸς = पत्नी का': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δίκαιον","δίκαιον","δίκαιος","G13420",1,"{'δίκαιον = धर्मी': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"δεδουλωμένας","δεδουλωμένας","δουλόω","G14020",1,"{'δεδουλωμένας = दासियां': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"δεσπόταις","δεσπόταις","δεσπότης","G12030",1,"{'δεσπόταις = स्वामियों के': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δεῖ","δεῖ","δέω","G12100",3,"{'δεῖ = होना': 33.33333333333333, 'μὴ δεῖ = अनुचित': 33.33333333333333, 'δεῖ = ज़रूरी है': 33.33333333333333}","[1, 1, 1]",1,1,1.0,0.0,3,0.3333333333333333,0.0,1,2,1.3333333333333333,0.4714045207910317,4,0.3333333333333333,0.11785113019775792,0,0,0.0,0.0,0,0.0,0.0,1,2,1.3333333333333333,0.4714045207910317,4,0.3333333333333333,0.11785113019775792,0,0,0.0,0.0,0,0,0
"διάγοντες","διάγοντες","διάγω","G12360",2,"{'διάγοντες = जीवन निर्वाह करते थे': 50.0, 'διάγοντες = हम': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,4,2.5,1.5,5,0.5,0.3,0,0,0.0,0.0,0,0,0
"διαβόλους","διαβόλους","διάβολος","G12280",1,"{'διαβόλους = वे दोष लगानेवाली': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,3,3,3.0,0.0,3,1.0,0.0,0,0,0.0,0.0,0,0,0
"διδάσκοντες","διδάσκοντες","διδάσκω","G13210",1,"{'διδάσκοντες = सिखाकर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"διδασκαλίαν","διδασκαλίαν","διδασκαλία","G13190",1,"{'τὴν διδασκαλίαν = उस शिक्षा को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,3,3,3.0,0.0,3,1.0,0.0,0,0,0.0,0.0,0,0,0
"διδασκαλίᾳ","διδασκαλίᾳ","διδασκαλία","G13190",3,"{'διδασκαλίᾳ = सिद्धान्त के': 33.33333333333333, 'τῇ διδασκαλίᾳ = तेरी शिक्षा': 33.33333333333333, 'τῇ διδασκαλίᾳ = शिक्षा': 33.33333333333333}","[1, 1, 1]",1,1,1.0,0.0,3,0.3333333333333333,0.0,1,2,1.6666666666666667,0.4714045207910317,5,0.33333333333333337,0.09428090415820634,0,0,0.0,0.0,0,0.0,0.0,1,2,1.6666666666666667,0.4714045207910317,5,0.33333333333333337,0.09428090415820634,0,0,0.0,0.0,0,0,0
"διδαχὴν","διδαχὴν","διδαχή","G13220",1,"{'τὴν διδαχὴν = शिक्षा के': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"διεταξάμην","διεταξάμην","διατάσσω","G12990",1,"{'διεταξάμην = दी हुई आज्ञा': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,3,3,3.0,0.0,3,1.0,0.0,0,0,0.0,0.0,0,0,0
"δικαίως","δικαίως","δικαίως","G13460",1,"{'δικαίως = धार्मिकता से': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δικαιοσύνῃ","δικαιοσύνῃ","δικαιοσύνη","G13430",1,"{'δικαιοσύνῃ = धार्मिकता': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"δικαιωθέντες","δικαιωθέντες","δικαιόω","G13440",1,"{'δικαιωθέντες τῇ = धर्मी ठहरकर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δουλεύοντες","δουλεύοντες","δουλεύω","G13980",1,"{'δουλεύοντες = दासत्व में': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δούλους","δούλους","δοῦλος","G14010",1,"{'δούλους = दासों को': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"δοῦλος","δοῦλος","δοῦλος","G14010",1,"{'δοῦλος = दास': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"δυνατὸς","δυνατὸς","δυνατός","G14150",1,"{'δυνατὸς = कर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0,0
"δόξης","δόξης","δόξα","G13910",1,"{'τῆς δόξης = महिमा का': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εἰδέναι","εἰδέναι","εἴδω","G14920",1,"{'εἰδέναι = जानने का': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εἰδὼς","εἰδὼς","εἴδω","G14920",1,"{'εἰδὼς = यह जानकर': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εἰρήνη","εἰρήνη","εἰρήνη","G15150",2,"{'εἰρήνη = शान्ति मिलती रहे': 50.0, 'εἰρήνη = शान्ति': 50.0}","[1, 1]",1,1,1.0,0.0,2,0.5,0.0,1,1,1.0,0.0,2,0.5,0.0,0,0,0.0,0.0,0,0.0,0.0,1,3,2.0,1.0,4,0.5,0.25,0,0,0.0,0.0,0,0,0
"εἶπέν","εἶπέν","λέγω","G30040",1,"{'εἶπέν = कहा है': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εἶχον","εἶχον","ἔχω","G21920",1,"{'εἶχον = मेरे पास': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εὐοδοῦσθαι","εὐοδοῦσθαι","εὐοδόω","G21370",1,"{'εὐοδοῦσθαι = उन्नति करे': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
"εὐοδοῦταί","εὐοδοῦταί","εὐοδόω","G21370",1,"{'εὐοδοῦταί = उन्नति कर रहा है': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,4,4,4.0,0.0,4,1.0,0.0,0,0,0.0,0.0,0,0,0
"εὐσέβειαν","εὐσέβειαν","εὐσέβεια","G21500",1,"{'εὐσέβειαν = भक्ति के साथ': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,3,3,3.0,0.0,3,1.0,0.0,0,0,0.0,0.0,0,0,0
"εὐσεβῶς","εὐσεβῶς","εὐσεβῶς","G21530",1,"{'εὐσεβῶς = भक्ति से': 100.0}","[1]",1,1,1.0,0.0,1,1.0,0.0,1,1,1.0,0.0,1,1.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2,2,2.0,0.0,2,1.0,0.0,0,0,0.0,0.0,0,0,0
